id;nome;criado;data_primeiro_caso;local_primeiro_caso
1;stinger since sudden;2024-02-26T05:42:19;2024-02-26;2024-02-26
2;agitated hugger jam-packed;2024-02-26T05:49:15;2024-02-26;2024-02-25
3;painfully;2024-02-26T05:23:14;2024-02-26;2024-02-25
4;crusade;2024-02-26T13:58:25;2024-02-26;2024-02-26
5;till;2024-02-26T02:23:24;2024-02-26;2024-02-26
6;temporary untrue;2024-02-26T02:51:18;2024-02-26;2024-02-26
7;duh expert boot;2024-02-25T21:31:03;2024-02-26;2024-02-26
8;atop;2024-02-25T23:18:46;2024-02-25;2024-02-26
9;huzzah ex-husband yet;2024-02-26T07:52:07;2024-02-26;2024-02-26
10;smoggy around;2024-02-25T23:45:29;2024-02-26;2024-02-26
